-0.18,-6.76,307.29,-5.99,-5.89,-5.00,-4.41,-9.66,-8.01,-6.00,-6.00,-6.00
-10.29,3.15,317.27,4.02,4.11,5.00,5.59,0.34,1.92,4.00,4.00,4.00
-9.39,2.06,316.24,3.02,3.11,4.00,4.46,-0.60,0.99,3.00,3.00,3.00
-7.51,0.05,314.22,1.02,1.11,2.00,2.46,-2.60,-1.01,1.00,1.00,1.00
-6.57,-0.88,313.19,0.01,0.12,1.00,1.40,-3.54,-2.01,0.00,0.00,0.00
-4.50,-2.84,311.17,-1.99,-1.89,-1.00,-0.60,-5.54,-3.95,-2.00,-2.00,-2.00
-7.44,0.21,314.15,1.01,1.11,2.00,2.40,-2.54,-0.95,1.00,1.00,1.00
-10.55,3.23,317.13,4.01,4.11,5.00,5.53,0.52,1.99,4.00,4.00,4.00
-6.53,-0.70,313.10,0.01,0.11,1.00,1.53,-3.48,-2.01,0.00,0.00,0.00
-4.50,-2.83,311.08,-1.99,-1.89,-1.00,-0.47,-5.54,-4.01,-2.00,-2.00,-2.00
-0.53,-6.76,307.06,-5.99,-5.89,-5.00,-4.54,-9.54,-8.01,-6.00,-6.00,-6.00
-5.43,-1.79,312.04,-0.99,-0.89,-0.00,0.46,-4.54,-3.08,-1.00,-1.00,-1.00
-4.34,-2.80,311.01,-1.99,-1.89,-1.00,-0.54,-5.54,-4.08,-2.00,-2.00,-2.00
-8.44,1.09,314.99,2.02,2.11,3.00,3.53,-1.66,-0.08,2.00,2.00,2.00
-0.36,-6.88,306.97,-5.99,-5.89,-5.01,-4.54,-9.60,-8.01,-6.00,-6.00,-6.00
-8.33,1.19,314.94,2.01,2.11,2.99,3.46,-1.60,-0.01,2.00,2.00,2.00
-1.44,-5.90,307.92,-4.99,-4.89,-4.01,-3.47,-8.60,-6.95,-5.00,-5.00,-5.00
-5.36,-1.88,311.90,-0.99,-0.89,-0.00,0.46,-4.54,-3.01,-1.00,-1.00,-1.00
-4.29,-2.84,310.88,-1.99,-1.89,-1.00,-0.54,-5.54,-4.01,-2.00,-2.00,-2.00
-3.41,-3.85,309.85,-2.99,-2.89,-2.00,-1.47,-6.48,-5.01,-3.00,-3.00,-3.00
-6.50,-0.96,312.83,0.02,0.11,1.00,1.46,-3.48,-1.95,0.00,0.00,0.00
-10.45,3.09,316.81,4.02,4.11,5.00,5.46,0.52,2.05,4.00,4.00,4.00
-5.52,-1.84,311.78,-0.99,-0.89,0.00,0.46,-4.54,-2.95,-1.00,-1.00,-1.00
-4.42,-2.86,310.76,-1.99,-1.89,-1.00,-0.54,-5.48,-3.95,-2.00,-2.00,-2.00
-4.34,-2.85,310.74,-1.99,-1.89,-1.00,-0.54,-5.48,-3.95,-2.00,-2.00,-2.00
-11.35,4.23,317.72,5.01,5.11,6.00,6.59,1.40,2.92,5.00,5.00,5.00
-1.44,-5.88,307.69,-4.99,-4.89,-4.00,-3.54,-8.60,-7.08,-5.00,-5.00,-5.00
-4.39,-2.82,310.67,-1.99,-1.89,-1.00,-0.54,-5.60,-4.08,-2.00,-2.00,-2.00
-0.44,-6.75,306.65,-5.99,-5.89,-5.00,-4.60,-9.54,-8.08,-6.00,-6.00,-6.00
-7.36,0.16,313.63,1.01,1.11,2.00,2.59,-2.60,-1.01,1.00,1.00,1.00
-4.27,-2.88,310.60,-1.99,-1.89,-1.00,-0.41,-5.60,-4.01,-2.00,-2.00,-2.00
-5.32,-1.81,311.58,-0.99,-0.89,0.00,0.59,-4.60,-2.95,-1.00,-1.00,-1.00
-6.29,-0.74,312.56,0.01,0.11,1.00,1.53,-3.54,-2.01,0.00,0.00,0.00
-5.35,-1.87,311.54,-0.99,-0.89,0.00,0.53,-4.54,-3.01,-1.00,-1.00,-1.00
-5.39,-1.79,311.51,-0.99,-0.89,0.00,0.46,-4.54,-3.01,-1.00,-1.00,-1.00
-5.29,-1.83,311.49,-0.99,-0.89,-0.00,0.46,-4.66,-2.95,-1.00,-1.00,-1.00
-9.22,2.20,315.47,3.01,3.11,4.00,4.46,-0.66,1.05,3.00,3.00,3.00
-7.31,0.24,313.45,1.01,1.11,2.00,2.40,-2.60,-0.95,1.00,1.00,1.00
-10.43,3.17,316.42,4.01,4.11,5.00,5.46,0.40,1.99,4.00,4.00,4.00
-4.55,-2.84,310.40,-1.99,-1.89,-1.00,-0.54,-5.60,-4.01,-2.00,-2.00,-2.00
-5.46,-1.90,311.38,-0.98,-0.89,-0.00,0.40,-4.54,-2.95,-1.00,-1.00,-1.00
-2.41,-4.84,308.35,-3.98,-3.89,-3.00,-2.54,-7.60,-5.95,-4.00,-4.00,-4.00
-8.50,1.05,314.33,2.02,2.11,3.00,3.46,-1.60,0.05,2.00,2.00,2.00
-8.49,1.12,314.31,2.02,2.11,3.00,3.53,-1.66,0.05,2.00,2.00,2.00
-1.40,-5.95,307.29,-4.98,-4.89,-4.00,-3.54,-8.66,-7.08,-5.00,-5.00,-5.00
-2.32,-4.93,308.26,-3.98,-3.89,-3.00,-2.54,-7.66,-6.08,-4.00,-4.00,-4.00
-6.42,-0.88,312.24,0.01,0.11,1.00,1.46,-3.60,-2.01,0.00,0.00,0.00
-3.34,-3.86,309.22,-2.98,-2.89,-2.00,-1.54,-6.54,-5.01,-3.00,-3.00,-3.00
-0.46,-6.90,306.19,-5.98,-5.89,-5.00,-4.54,-9.54,-8.01,-6.00,-6.00,-6.00
-7.45,0.18,313.17,1.01,1.11,2.00,2.59,-2.60,-1.01,1.00,1.00,1.00
-7.42,0.25,313.15,1.01,1.11,2.00,2.53,-2.60,-1.01,1.00,1.00,1.00
-0.48,-6.89,306.12,-5.99,-5.89,-5.00,-4.47,-9.60,-8.01,-6.00,-6.00,-6.00
-5.42,-1.84,311.10,-0.99,-0.89,-0.00,0.53,-4.66,-3.08,-1.00,-1.00,-1.00
-4.54,-2.85,310.08,-1.99,-1.89,-1.00,-0.47,-5.72,-3.95,-2.00,-2.00,-2.00
-7.45,0.15,313.06,1.01,1.11,2.00,2.53,-2.72,-0.95,1.00,1.00,1.00
-9.57,2.12,315.03,3.01,3.11,4.00,4.53,-0.66,0.99,3.00,3.00,3.00
-9.48,2.09,315.01,3.02,3.11,4.00,4.46,-0.60,1.05,3.00,3.00,3.00
-8.39,1.10,313.99,2.02,2.11,3.00,3.46,-1.60,0.05,2.00,2.00,2.00
-2.50,-4.86,307.97,-3.99,-3.89,-3.00,-2.54,-7.54,-5.95,-4.00,-4.00,-4.00
-6.44,-0.81,311.94,0.01,0.11,1.00,1.46,-3.60,-2.01,0.00,0.00,0.00
-10.48,3.26,315.92,4.01,4.11,5.00,5.46,0.40,1.99,4.00,4.00,4.00
-10.41,3.15,315.90,4.02,4.11,5.00,5.53,0.40,1.99,4.00,4.00,4.00
-4.32,-2.90,309.88,-1.98,-1.89,-1.00,-0.54,-5.66,-4.01,-2.00,-2.00,-2.00
-2.38,-4.83,307.85,-3.98,-3.89,-3.00,-2.54,-7.66,-6.01,-4.00,-4.00,-4.00
-7.30,0.08,312.83,1.02,1.11,2.00,2.46,-2.60,-1.01,1.00,1.00,1.00
-11.39,4.12,316.81,5.01,5.11,6.00,6.34,1.40,3.05,5.00,5.00,5.00
-1.47,-5.82,306.78,-4.99,-4.89,-4.00,-3.66,-8.60,-6.95,-5.00,-5.00,-5.00
-10.59,3.16,315.76,4.01,4.11,5.00,5.34,0.52,2.05,4.00,4.00,4.00
-4.49,-2.88,309.74,-1.99,-1.89,-1.00,-0.54,-5.54,-4.01,-2.00,-2.00,-2.00
-10.40,3.12,315.72,4.01,4.11,5.00,5.46,0.46,1.99,4.00,4.00,4.00
-9.31,2.11,314.70,3.02,3.11,4.00,4.53,-0.60,1.05,3.00,3.00,3.00
-4.36,-2.82,309.67,-1.98,-1.89,-1.00,-0.47,-5.60,-3.95,-2.00,-2.00,-2.00
-6.40,-0.75,311.65,0.01,0.11,1.00,1.53,-3.60,-1.95,0.00,0.00,0.00
-3.43,-3.89,308.63,-2.98,-2.89,-2.00,-1.41,-6.66,-5.01,-3.00,-3.00,-3.00
-5.34,-1.96,310.61,-0.98,-0.89,-0.00,0.59,-4.66,-3.01,-1.00,-1.00,-1.00
-8.35,1.12,313.58,2.02,2.11,3.00,3.53,-1.60,-0.01,2.00,2.00,2.00
-9.36,2.19,314.56,3.01,3.11,4.00,4.53,-0.54,0.92,3.00,3.00,3.00
-5.32,-1.93,310.54,-0.99,-0.89,0.00,0.53,-4.54,-3.08,-1.00,-1.00,-1.00
