,-3.23,-4.39
-1.14,1.61,65.23,57.00,-60.00,9.00,-25.00,8.00,277.00,1.81,-0.20,-2.43,-1.01,1.62,65.19,-29.66,-17.70,1021.48,2.32,-3.17,-4.52
-1.14,1.61,65.23,57.00,-60.00,9.00,-25.00,8.00,277.00,1.81,-0.20,-2.43,-0.91,1.66,65.15,-28.93,-17.94,1021.61,2.38,-3.17,-4.46
-0.91,1.66,65.15,71.00,-62.00,10.00,-26.00,9.00,278.00,1.81,-0.20,-2.43,-0.95,1.54,65.10,-28.56,-17.09,1022.46,2.44,-3.17,-4.39
-0.91,1.66,65.15,71.00,-62.00,10.00,-26.00,9.00,278.00,1.81,-0.20,-2.43,-1.01,1.58,65.06,-27.71,-17.21,1021.73,2.38,-3.17,-4.33
-1.01,1.58,65.06,62.00,-52.00,9.00,-28.00,8.00,277.00,1.81,-0.20,-2.43,-0.89,1.51,65.02,-27.95,-17.46,1020.02,2.44,-3.23,-4.33
-1.01,1.58,65.06,62.00,-52.00,9.00,-28.00,8.00,277.00,1.81,-0.20,-2.43,-0.95,1.55,64.98,-28.69,-17.94,1020.75,2.38,-3.23,-4.39
-0.95,1.55,64.98,90.00,-57.00,6.00,-26.00,8.00,278.00,1.81,-0.20,-2.43,-0.96,1.62,64.93,-29.79,-17.70,1022.58,2.38,-3.11,-4.46
-0.95,1.55,64.98,90.00,-57.00,6.00,-26.00,8.00,278.00,1.81,-0.20,-2.43,-1.05,1.61,64.89,-29.17,-18.43,1021.48,2.38,-3.17,-4.46
-1.05,1.61,64.89,92.00,-58.00,4.00,-26.00,9.00,277.00,1.81,-0.20,-2.43,-1.05,1.69,64.85,-29.54,-18.92,1023.32,2.38,-3.23,-4.46
-1.05,1.61,64.89,92.00,-58.00,4.00,-26.00,9.00,277.00,1.81,-0.20,-2.43,-1.03,1.55,64.80,-27.83,-18.80,1021.61,2.38,-3.30,-4.46
-1.03,1.55,64.80,94.00,-48.00,6.00,-26.00,9.00,278.00,1.81,-0.20,-2.43,-0.95,1.61,64.76,-30.03,-16.72,1021.00,2.50,-3.17,-4.39
-1.03,1.55,64.80,94.00,-48.00,6.00,-26.00,9.00,278.00,1.81,-0.20,-2.43,-1.03,1.58,64.72,-28.81,-18.43,1021.73,2.50,-3.30,-4.39
-1.03,1.58,64.72,89.00,-44.00,3.00,-26.00,8.00,278.00,1.80,-0.20,-2.43,-0.92,1.62,64.68,-29.66,-16.60,1020.75,2.44,-3.17,-4.33
-1.03,1.58,64.72,89.00,-44.00,3.00,-26.00,8.00,278.00,1.80,-0.20,-2.43,-1.01,1.60,64.63,-29.05,-18.31,1021.85,2.44,-3.30,-4.39
-1.01,1.60,64.63,81.00,-58.00,7.00,-27.00,8.00,278.00,1.80,-0.20,-2.43,-1.02,1.67,64.59,-29.05,-18.19,1020.87,2.38,-3.23,-4.39
